cell_id,target_heterogeneity,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,local_risk,strong_fixed_alpha,strong_fixed_risk,phase_early_alpha,phase_late_alpha,phase_risk,safe_risk,safe_charged_shadow_risk,safe_to_local_ratio,safe_to_fixed_ratio,phase_to_fixed_ratio,safe_checkpoint_valid,safe_early_alpha_mean,safe_late_alpha_mean,safe_uses_nonzero,safe_uses_shadow,safe_environment_used,safe_message_used
H0-I0.5-N1-S0-T0-D1,0.0,0.5,1.0,0.0,0.0,1,0.020408163975126216,1.0,0.005102142354433006,0.5,1.0,0.005101489132962468,0.005102112622733868,0.020408165156076127,0.2500035098185413,0.9999941727029407,0.9998719711397369,True,0.8333333333333334,1.0,True,False,240,18
H0-I0.5-N1-S0-T0-D3,0.0,0.5,1.0,0.0,0.0,3,0.020408163975126216,0.75,0.004274009825960531,0.25,0.75,0.004112913124627593,0.004178656323314281,0.020408165156076127,0.2047541527208078,0.9776899196471031,0.9623078308443679,True,0.5,0.75,True,False,240,17
H0-I0.5-N1-S0-T0.6-D0,0.0,0.5,1.0,0.0,0.6,0,0.06598357346166561,1.0,0.01649589394510283,0.0,1.0,0.01649589394510283,0.0160617902480729,0.06424715481577618,0.2434210426236508,0.9736841362781188,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N1-S0-T0.6-D1,0.0,0.5,1.0,0.0,0.6,1,0.06598357346166561,1.0,0.016495990037243807,0.5,1.0,0.016494032512020848,0.0164959686206959,0.06424715481577618,0.2500011405153669,0.9999987017118792,0.9998813332683556,True,0.9166666666666666,1.0,True,False,240,18
H0-I0.5-N1-S0-T0.6-D3,0.0,0.5,1.0,0.0,0.6,3,0.06598357346166561,0.75,0.013413989390015939,0.5,0.75,0.013256753871864292,0.013355304007570457,0.06424715481577618,0.2024034666041461,0.9956250612148865,0.9882782434382513,True,0.5833333333333334,0.75,True,False,240,18
H0-I0.5-N1-S0-T0.9-D0,0.0,0.5,1.0,0.0,0.9,0,0.14676403925298642,1.0,0.03669101039293303,0.0,1.0,0.03669101039293303,0.03399228889388212,0.13596914939901306,0.23161183806945695,0.926447337640756,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N1-S0-T0.9-D1,0.0,0.5,1.0,0.0,0.9,1,0.14676403925298642,1.0,0.03669109817433375,0.5,1.0,0.03668682882644497,0.03669106710371626,0.13596914939901306,0.2500003903576785,0.9999991531837684,0.9998836407711623,True,0.9166666666666666,1.0,True,False,240,18
H0-I0.5-N1-S0-T0.9-D3,0.0,0.5,1.0,0.0,0.9,3,0.14676403925298642,0.75,0.02961421259866563,0.5,0.75,0.02943418678115162,0.02920118976041651,0.13596914939901306,0.19896692615607683,0.9860532223548727,0.9939209655865671,True,0.6666666666666666,0.75,True,False,240,18
H0-I0.5-N1-S0.5-T0-D0,0.0,0.5,1.0,0.5,0.0,0,0.020408163975126216,1.0,0.012755102774297096,0.0,1.0,0.012755102774297096,0.012755103994612008,0.020408165156076127,0.6250000739977455,1.0000000956726836,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N1-S0.5-T0-D1,0.0,0.5,1.0,0.5,0.0,1,0.020408163975126216,0.75,0.011487845703023141,0.5,0.75,0.01148762296668499,0.01177295594769173,0.020408165156076127,0.5768748213725051,1.0248184256682311,0.999980611130763,True,0.6666666666666666,0.75,True,False,240,18
H0-I0.5-N1-S0.5-T0-D3,0.0,0.5,1.0,0.5,0.0,3,0.020408163975126216,0.75,0.008568541829903445,0.5,0.75,0.008415527739201218,0.008550693374756939,0.020408165156076127,0.4189839607903315,0.9979169786994309,0.982142341866358,True,0.4166666666666667,0.75,True,False,240,17
H0-I0.5-N1-S0.5-T0.6-D0,0.0,0.5,1.0,0.5,0.6,0,0.06598357346166561,1.0,0.04123973370338422,0.0,1.0,0.04123973370338422,0.040154472531924536,0.06424715481577618,0.6085525597556948,0.973684088765815,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N1-S0.5-T0.6-D1,0.0,0.5,1.0,0.5,0.6,1,0.06598357346166561,0.75,0.037142365120295284,0.5,0.75,0.03714168040873538,0.03795519674292369,0.06424715481577618,0.5752219037511582,1.0218842181965484,0.9999815652138014,True,0.75,0.75,True,False,240,18
H0-I0.5-N1-S0.5-T0.6-D3,0.0,0.5,1.0,0.5,0.6,3,0.06598357346166561,0.75,0.02729904910061412,0.5,0.75,0.027113889778741695,0.027473806688493273,0.06424715481577618,0.41637342822080853,1.0064015998225821,0.9932173710084188,True,0.5,0.75,True,False,240,18
H0-I0.5-N1-S0.5-T0.9-D0,0.0,0.5,1.0,0.5,0.9,0,0.14676403925298642,1.0,0.09172752482295973,0.0,1.0,0.09172752482295973,0.08498071914644759,0.13596914939901306,0.57902957413131,0.9264473156826816,1.0,True,1.0,1.0,True,False,240,18
H0-I0.5-N1-S0.5-T0.9-D1,0.0,0.5,1.0,0.5,0.9,1,0.14676403925298642,0.75,0.08261390452120404,0.5,0.75,0.08261240097830468,0.0839866877708007,0.13596914939901306,0.5722565840943337,1.0166168547238235,0.9999818003651071,True,0.75,0.75,True,False,240,18
H0-I0.5-N1-S0.5-T0.9-D3,0.0,0.5,1.0,0.5,0.9,3,0.14676403925298642,0.75,0.06049807284789627,0.5,0.75,0.06025593747740126,0.06060638951651606,0.13596914939901306,0.4129512230993112,1.0017904151904495,0.9959976349808071,True,0.6666666666666666,0.75,True,False,240,18
