persistence,rho,delay,seed,decision,alpha_m,transitions_before,persistence_upper,certified_upper,covered_so_far,remaining_before,block_budget,gap,num_agents,eta,updates,observations,exact_radius
0.9,0.9,2,88,10,9.090909090909092e-05,12710,0.9074381157922322,0.908,True,1872,1872,19,1,0.0278733290664952,66,1278,0.9643068572477222
0.9,0.9,2,89,1,0.005,128,0.9277955595759895,0.928,True,19872,2000,23,1,0.027196611593278644,62,1442,0.9651275033648746
0.9,0.9,2,89,2,0.0016666666666666668,1570,0.923245055549175,0.924,True,17872,2000,21,1,0.026838182647085138,66,1406,0.9655827144075207
0.9,0.9,2,89,3,0.0008333333333333334,2976,0.9194809885535384,0.92,True,15872,2000,22,1,0.02792379593308588,64,1424,0.9642254459833869
0.9,0.9,2,89,4,0.0005,4400,0.9121808416979663,0.913,True,13872,2000,19,1,0.027393571962825228,71,1361,0.9649036159416376
0.9,0.9,2,89,5,0.0003333333333333333,5761,0.9108684723647438,0.911,True,11872,2000,19,1,0.02766196709820882,71,1361,0.9645696715234632
0.9,0.9,2,89,6,0.0002380952380952381,7122,0.9081908412485176,0.909,True,9872,2000,20,1,0.028348080016751362,68,1388,0.963709138323894
0.9,0.9,2,89,7,0.00017857142857142857,8510,0.9079075801874413,0.908,True,7872,2000,19,1,0.028017816539813122,71,1361,0.964127282438233
0.9,0.9,2,89,8,0.0001388888888888889,9871,0.9090263063572042,0.91,True,5872,2000,20,1,0.028242603616492085,68,1388,0.9638401683156309
0.9,0.9,2,89,9,0.00011111111111111112,11259,0.9092916407020831,0.91,True,3872,2000,19,1,0.0277550284642611,71,1361,0.9644539377403153
0.9,0.9,2,89,10,9.090909090909092e-05,12620,0.9087428773789842,0.909,True,1872,1872,19,1,0.027761769601364453,66,1278,0.964445555385364
0.9,0.9,2,90,1,0.005,128,0.9703412808711063,0.971,True,19872,2000,55,1,0.026215205989270303,31,1721,0.9663393746397033
0.9,0.9,2,90,2,0.0016666666666666668,1849,0.9159247673837787,0.916,True,17872,2000,20,1,0.027493189095508217,68,1388,0.9647722046112261
0.9,0.9,2,90,3,0.0008333333333333334,3237,0.9160642968526074,0.917,True,15872,2000,20,1,0.02737780453458406,68,1388,0.9649158710006939
0.9,0.9,2,90,4,0.0005,4625,0.9195075952839991,0.92,True,13872,2000,22,1,0.027937622263566653,64,1424,0.9642082415473394
0.9,0.9,2,90,5,0.0003333333333333333,6049,0.9152963425570503,0.916,True,11872,2000,20,1,0.027539685338119426,68,1388,0.9647143240286564
0.9,0.9,2,90,6,0.0002380952380952381,7437,0.9148975573060444,0.915,True,9872,2000,20,1,0.027676308723861752,68,1388,0.9645442902349627
0.9,0.9,2,90,7,0.00017857142857142857,8825,0.9156164887374495,0.916,True,7872,2000,20,1,0.027545948855199405,68,1388,0.9647065274667862
0.9,0.9,2,90,8,0.0001388888888888889,10213,0.9157175814151216,0.916,True,5872,2000,20,1,0.027536539261733467,68,1388,0.9647182401803794
0.9,0.9,2,90,9,0.00011111111111111112,11601,0.9158378370305217,0.916,True,3872,2000,20,1,0.027504790555068784,68,1388,0.9647577619370727
0.9,0.9,2,90,10,9.090909090909092e-05,12989,0.914288108749361,0.915,True,1872,1872,22,1,0.028348716492838058,60,1332,0.9636969938460069
0.9,0.9,2,91,1,0.005,128,0.9604300637906793,0.961,True,19872,2000,43,1,0.026974287352005077,38,1658,0.9653906572679738
0.9,0.9,2,91,2,0.0016666666666666668,1786,0.926090120162386,0.927,True,17872,2000,23,1,0.027373920627818425,62,1442,0.9649064503156931
0.9,0.9,2,91,3,0.0008333333333333334,3228,0.9158282606644883,0.916,True,15872,2000,20,1,0.02751326370902535,68,1388,0.9647472139738489
0.9,0.9,2,91,4,0.0005,4616,0.9161189929211747,0.917,True,13872,2000,19,1,0.02681325657372623,71,1361,0.9656264690119871
