persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,online_error,oracle_error,static_error,worst_mixing_error,online_to_oracle,first_updating_gap,final_gap,median_selected_q,final_transition_count
0.5,0.0,0,27,True,0.9716697769801519,0.00029795947200268,0.0002495536009429936,2.56581477553674e-05,7.655341239517966e-05,1.1939698360463404,3,3,32.0,1744
0.5,0.0,0,28,True,0.9708949708778352,0.00029829936872939166,0.0002495536009429936,2.624794357741641e-05,7.655341239517966e-05,1.1953318549690382,4,3,32.0,1944
0.5,0.0,0,29,True,0.9707616224721032,0.00029839334724778005,0.0002495536009429936,2.5650902550853533e-05,7.655341239517966e-05,1.1957084414740344,4,3,32.0,1864
0.5,0.0,0,30,True,0.969773921672583,0.0002988076763753117,0.0002495536009429936,2.564538369712184e-05,7.655341239517966e-05,1.197368722575834,6,3,32.0,1984
0.5,0.0,0,31,True,0.9696067535367979,0.00028388598041147043,0.0002495536009429936,2.5644835651935108e-05,7.655341239517966e-05,1.137575171581353,6,2,32.0,1632
0.5,0.0,0,32,True,0.9709465323518405,0.00029760982181556347,0.0002495536009429936,2.624728913302172e-05,7.655341239517966e-05,1.1925687334944426,4,3,32.0,1824
0.5,0.0,0,33,True,0.9701922368925227,0.0002984910939828351,0.0002495536009429936,2.564477200613544e-05,7.655341239517966e-05,1.1961001278078949,5,3,32.0,2024
0.5,0.0,0,34,True,0.9701922368925227,0.0002982993572368272,0.0002495536009429936,2.6247457813921824e-05,7.655341239517966e-05,1.1953318089165492,5,3,32.0,1984
0.5,0.0,0,35,True,0.9709825274717332,0.0002978830920021808,0.0002495536009429936,2.6247754133683694e-05,7.655341239517966e-05,1.1936637695331322,4,3,32.0,1824
0.5,0.0,0,36,True,0.9714703836014498,0.0002979594704084135,0.0002495536009429936,2.6247411279337214e-05,7.655341239517966e-05,1.1939698296578674,3,3,32.0,1784
0.5,0.0,0,37,True,0.9706796525142437,0.00029754915869800686,0.0002495536009429936,2.6247843642822784e-05,7.655341239517966e-05,1.192325646969835,4,3,32.0,1944
0.5,0.0,0,38,True,0.9697285289506388,0.0003001410008220103,0.0002495536009429936,2.565400733072676e-05,7.655341239517966e-05,1.2027115605138974,6,3,32.0,1904
0.5,0.0,0,39,True,0.969773921672583,0.0002994180770745874,0.0002495536009429936,2.5661212136998062e-05,7.655341239517966e-05,1.1998146928883004,6,3,32.0,1944
0.5,0.0,0,40,True,0.9709465323518405,0.00029812236442938777,0.0002495536009429936,2.62472524434012e-05,7.655341239517966e-05,1.1946225712747334,4,3,32.0,1824
0.5,0.0,0,41,True,0.9708949708778352,0.0002973843767593991,0.0002495536009429936,2.5645874009816465e-05,7.655341239517966e-05,1.19166534017408,4,3,32.0,1824
0.5,0.0,0,42,True,0.971014821604848,0.0002998376466250641,0.0002495536009429936,2.564477200613544e-05,7.655341239517966e-05,1.2014959731779509,4,3,32.0,1944
0.5,0.0,0,43,True,0.9716006789530512,0.0002978830933163439,0.0002495536009429936,2.5651449751428197e-05,7.655341239517966e-05,1.1936637747991876,3,3,32.0,1784
0.5,0.0,0,44,True,0.9704513333246538,0.00028977681241344804,0.0002495536009429936,2.624728913302172e-05,7.655341239517966e-05,1.1611806494414911,4,2,32.0,1792
0.5,0.0,0,45,True,0.9705676089836552,0.00029774016252866214,0.0002495536009429936,2.564828398846228e-05,7.655341239517966e-05,1.193091028955643,4,3,32.0,1864
0.5,0.0,0,46,True,0.9702538941488115,0.0002992873370046291,0.0002495536009429936,2.6247433799000063e-05,7.655341239517966e-05,1.199290797142199,5,3,32.0,1944
0.5,0.0,0,47,True,0.9702538941488115,0.0002893558569983615,0.0002495536009429936,2.6247318318440787e-05,7.655341239517966e-05,1.1594938157773167,5,2,32.0,1752
0.5,0.0,0,48,True,0.9714703836014498,0.0002974365118964527,0.0002495536009429936,2.6247318318440787e-05,7.655341239517966e-05,1.191874253757601,3,3,32.0,1784
0.5,0.0,0,49,True,0.971543923321784,0.0002878000926310968,0.0002495536009429936,2.5650389142867632e-05,7.655341239517966e-05,1.153259626563513,3,2,32.0,1632
0.5,0.0,0,50,True,0.9696067535367979,0.0002981223686580352,0.0002495536009429936,2.5645874009816465e-05,7.655341239517966e-05,1.1946225882195798,6,3,32.0,1984
0.5,0.0,0,51,True,0.9714703836014498,0.0002974914056255972,0.0002495536009429936,2.624724189981093e-05,7.655341239517966e-05,1.1920942214476569,3,3,32.0,1784
0.5,0.0,0,52,True,0.9705676089836552,0.000300300065773977,0.0002495536009429936,2.5645209114101912e-05,7.655341239517966e-05,1.2033489584571275,4,3,32.0,1944
