persistence,rho,seed,decision,persistence_upper,certified_persistence,rho_upper_before,gap,probes,collision_trials,collisions,cumulative_tv_bias,p_trials,jointly_covered_so_far,spent
0.5,0.9,20290299,1,0.6780795109382056,0.68,1.0,5,133,133,124,1.2063002112000043,798,True,2128
0.5,0.9,20290299,2,0.5765869633785543,0.578,1.0,3,153,286,268,2.0775776832000044,1268,True,4128
0.5,0.9,20290299,3,0.5408884571037689,0.542,1.0,3,153,439,414,2.213603251200021,1738,True,6128
0.5,0.9,20290299,4,0.5337183258094316,0.534,1.0,2,166,605,572,3.36497925120003,2078,True,8128
0.5,0.9,20290299,5,0.5338984446150785,0.534,1.0,2,166,771,730,4.516355251200006,2418,True,10128
0.5,0.9,20290299,6,0.5354015687837979,0.536,1.0,2,166,937,888,5.80717125119997,2758,True,12128
0.5,0.9,20290299,7,0.5399530257470715,0.54,1.0,2,166,1103,1046,7.4007712511999415,3098,True,14128
0.5,0.9,20290299,8,0.536613517063748,0.538,1.0,2,166,1269,1204,8.83899525119993,3438,True,16128
0.5,0.9,20290299,9,0.5407809369279117,0.542,1.0,3,153,1422,1349,8.975020819199948,3908,True,18128
0.5,0.9,20290299,10,0.5376615202026485,0.538,1.0,2,156,1578,1499,10.32660481919988,4220,True,20000
0.5,0.9,20290300,1,0.7339617219087422,0.734,1.0,7,117,117,111,0.8629747570609959,958,True,2128
0.5,0.9,20290300,2,0.5566958694466402,0.558,1.0,3,153,270,252,1.221200389060991,1428,True,4128
0.5,0.9,20290300,3,0.5446210627955379,0.546,1.0,3,153,423,400,1.3999092850609973,1898,True,6128
0.5,0.9,20290300,4,0.5404656447220186,0.542,1.0,3,153,576,544,1.5359348530610142,2368,True,8128
0.5,0.9,20290300,5,0.539861616305841,0.54,1.0,2,166,742,702,3.129534853060997,2708,True,10128
0.5,0.9,20290300,6,0.5362400015794759,0.538,1.0,2,166,908,859,4.567758853061027,3048,True,12128
0.5,0.9,20290300,7,0.5303333159319457,0.532,1.0,2,166,1074,1020,5.587662853061015,3388,True,14128
0.5,0.9,20290300,8,0.5310913852152068,0.532,1.0,2,166,1240,1182,6.6075668530610026,3728,True,16128
0.5,0.9,20290300,9,0.5342991942571751,0.536,1.0,2,166,1406,1339,7.8983828530609665,4068,True,18128
