persistence,rho,seed,joint_simultaneous_coverage,final_p_upper,final_rho_upper,collision_upper,hoeffding_radius,average_tv_bias,collision_trials,p_trials,d0_q,d0_gap,d0_eta,d0_updates,d0_exact_radius,d2_q,d2_gap,d2_eta,d2_updates,d2_exact_radius
0.9,0.5,20310314,True,0.9154880039871698,0.7967571040932906,0.8983785520466453,0.14189960396104678,0.009275368667254114,447,15530,2,20,0.012896286577252641,666,0.9835033942669211,1,20,0.027468032904154626,689,0.9648035231053622
0.9,0.5,20310315,True,0.9073438204339825,0.8308407489274909,0.9154203744637455,0.13524192892897455,0.009094108185373302,498,15020,2,19,0.012315025067462088,689,0.9842324017066375,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310316,True,0.9109278030724384,0.8259390897129966,0.9129695448564983,0.13837706416871282,0.009264785127531797,473,15270,2,19,0.012477492195409301,689,0.9840292658814446,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310317,True,0.9058888173309552,0.8269725007405235,0.9134862503702618,0.13381593709291295,0.009082077983231115,510,14900,2,19,0.012245386889109765,689,0.9843195105870228,1,19,0.02811798743352718,714,0.9640028269744144
0.9,0.5,20310318,True,0.9103778363441419,0.7821880723975292,0.8910940361987646,0.13536298068694694,0.00925218227238105,497,15030,2,19,0.012503924729635185,689,0.983996228785618,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310319,True,0.9076044761194251,0.7876012294490427,0.8938006147245213,0.1345228568424603,0.009277757882060957,504,14960,2,19,0.012341030015103244,689,0.9841998786707392,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310320,True,0.9070359433014152,0.8294614229343715,0.9147307114671858,0.13405024826246348,0.009026919897635693,508,14920,2,19,0.012315025067462088,689,0.9842324017066375,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310321,True,0.9106950536477056,0.7753767899122492,0.8876883949561246,0.13773131601831032,0.009371304879236824,478,15220,2,19,0.012517367879362522,689,0.9839794279553689,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310322,True,0.9106018649041148,0.7507795076024582,0.8753897538012291,0.13646836720150407,0.009413189878413452,488,15120,4,20,0.01360103208279449,625,0.982610812862834,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310323,True,0.9078418288607271,0.8021930694371464,0.9010965347185732,0.1359735115210654,0.009025462221898038,492,15080,2,19,0.012327954319396308,689,0.9842162313565719,1,19,0.027916624660542854,714,0.9642530404467864
0.9,0.5,20310324,True,0.9131905607948969,0.74129533964383,0.870647669821915,0.13773131601831032,0.009066981418667438,478,15220,4,20,0.013689573369200014,625,0.9825004164167648,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310325,True,0.9107903262598815,0.7381398956016383,0.8690699478008191,0.13646836720150407,0.009240924861610166,488,15120,4,20,0.013625154209329375,625,0.9825807329354934,1,19,0.027456746418629573,714,0.9648249911870199
0.9,0.5,20310326,True,0.9130102536536431,0.7222466238082637,0.8611233119041318,0.1342858839346283,0.00944612362167757,506,14940,4,20,0.013713891810493335,625,0.9824701016652859,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.5,20310327,True,0.9143115643589759,0.8169025841602011,0.9084512920801006,0.14392025764316024,0.009334729587055718,433,15670,2,20,0.012882538106802174,666,0.9835205576367504,1,20,0.027468032904154626,689,0.9648035231053622
0.9,0.5,20310328,True,0.9139440490800208,0.780191035226034,0.890095517613017,0.13760332562556643,0.009277160672210395,479,15210,2,20,0.012804424272035094,666,0.9836180908442214,1,20,0.0277183378536651,689,0.9644919954814224
0.9,0.9,20320201,True,0.9104042278467972,1.0,1.0,0.13684333525233608,0.009183319940568887,485,15150,1,19,0.011982320447447332,714,0.9846705147069676,1,19,0.027456746418629573,714,0.9648249911870199
