persistence,rho,maximum_delay,policy,q,gap,eta,checkpoint,resource_fraction,parameter_mean,parameter_std,return_mean,return_std,seeds,parameter_ci95,return_ci95
0.0,0.0,0,joint,16,64,0.0102631531302343,14,0.34978125,0.007331504140355497,0.002601198972470232,0.02297123868313206,0.03394366363242018,64,0.0006372937482552067,0.008316197589942943
0.0,0.0,0,joint,16,64,0.0102631531302343,15,0.37471875,0.005803748859038723,0.0023578037866604164,0.02883982557719766,0.041855500870499156,64,0.000577661927731802,0.010254597713272293
0.0,0.0,0,joint,16,64,0.0102631531302343,16,0.39965625,0.00441065274567625,0.0019183651429321566,0.0326909071616753,0.03962485143462004,64,0.00046999946001837834,0.00970808860148191
0.0,0.0,0,joint,16,64,0.0102631531302343,17,0.42459375,0.0036128139716882393,0.0020023324992673743,0.03315387415773612,0.05127523913841022,64,0.0004905714623205067,0.012562433588910503
0.0,0.0,0,joint,16,64,0.0102631531302343,18,0.44953125,0.0030531872947062236,0.00203804974239326,0.027678208567279684,0.04538026657840571,64,0.0004993221868863487,0.011118165311709399
0.0,0.0,0,joint,16,64,0.0102631531302343,19,0.47446875,0.0026990223443785484,0.0019283080980567581,0.028454838219161553,0.042671747321977406,64,0.00047243548402390575,0.010454578093884464
0.0,0.0,0,joint,16,64,0.0102631531302343,20,0.49940625,0.0024540401337969056,0.0018530060459839637,0.03097818344849923,0.03804673269132869,64,0.00045398648126607113,0.009321449509375529
0.0,0.0,0,joint,16,64,0.0102631531302343,21,0.52434375,0.002559869805765024,0.0020817891422591993,0.030224678938437253,0.03892851430238547,64,0.0005100383398535038,0.009537486004084439
0.0,0.0,0,joint,16,64,0.0102631531302343,22,0.54928125,0.0023675682048651314,0.001812132363114813,0.02845713853515943,0.03976509962669379,64,0.0004439724289631292,0.009742449408539978
0.0,0.0,0,joint,16,64,0.0102631531302343,23,0.57421875,0.0025647259619232376,0.002143855301035876,0.03337592108340701,0.04615139294611144,64,0.0005252445487537896,0.011307091271797302
0.0,0.0,0,joint,16,64,0.0102631531302343,24,0.59915625,0.002246110703121358,0.0019149665234540771,0.036994247779794265,0.04080482986387282,64,0.00046916679824624886,0.00999718331664884
