seed,seed_index,scenario,max_delay,policy,probe_num_agents,probe_updates,probe_cost,selected_num_agents,selected_eta,estimated_selected_lrv,true_selected_lrv,num_agents,eta,proxy_risk,lrv_used,predicted_exploitation_updates
20260743,14,independent,16,probe_oracle,32.0,80.0,2880.0,32.0,0.009170040432046712,0.02074984346278459,0.04687499999999999,32.0,0.009170040432046712,0.0002571058176474592,0.04687499999999999,364.0
20260743,14,independent,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.009170040432046712,0.02074984346278459,0.04687499999999999,32.0,0.009170040432046712,0.00012942139749333442,0.02074984346278459,364.0
20260743,14,independent,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0031046445301837096,0.2513121449478594,0.18749999999999997,8.0,0.0031046445301837096,0.0004161962743868661,0.2513121449478594,1253.0
20260743,14,independent,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,0.7291327882141575,1.4999999999999998,1.0,0.0025,0.0009125679725151613,0.7291327882141575,3120.0
20260743,14,clustered,4,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,0.7473995497492996,0.8950479968782517,4.0,0.0025,0.0009388593297595818,0.7473995497492996,1640.0
20260743,14,clustered,4,probe_oracle,32.0,80.0,2880.0,8.0,0.0025,0.8918894978314309,0.8462644380853276,8.0,0.0025,0.0011118353016121415,0.8462644380853276,1093.0
20260743,14,clustered,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.0038555270635198514,1.1719988585868564,0.8688495057232047,32.0,0.0038555270635198514,0.002943795809325594,1.1719988585868564,364.0
20260743,14,clustered,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,0.8918894978314309,0.8462644380853276,8.0,0.0025,0.0011415976628252247,0.8918894978314309,1253.0
20260743,14,clustered,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,4.029528299526867,3.0564999999999993,1.0,0.0025,0.005043214416816168,4.029528299526867,3120.0
20260743,14,clustered,16,adaptive_probe,32.0,80.0,2880.0,4.0,0.0025,0.697118864984531,0.8950479968782517,4.0,0.0025,0.0008763085885971165,0.697118864984531,1640.0
20260743,14,clustered,16,probe_oracle,32.0,80.0,2880.0,8.0,0.0025,0.8965593204580504,0.8462644380853276,8.0,0.0025,0.001118834404981101,0.8462644380853276,1093.0
20260743,14,clustered,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.0038555270635198514,1.1427063418448227,0.8688495057232047,32.0,0.0038555270635198514,0.0029762157904901125,1.1427063418448227,364.0
20260743,14,clustered,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,0.8965593204580504,0.8462644380853276,8.0,0.0025,0.0011872843922573482,0.8965593204580504,1253.0
20260743,14,clustered,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,4.150241012048238,3.0564999999999993,1.0,0.0025,0.005194300977590657,4.150241012048238,3120.0
20260743,14,global,4,adaptive_probe,32.0,80.0,2880.0,1.0,0.0025,5.736164474240449,15.575999999999988,1.0,0.0025,0.0071795758349659285,5.736164474240449,2624.0
20260743,14,global,4,probe_oracle,32.0,80.0,2880.0,1.0,0.0025,5.736164474240449,15.575999999999988,1.0,0.0025,0.01949473994125698,15.575999999999988,2624.0
20260743,14,global,4,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.0047880164034928676,7.398030516719443,23.418749999999978,32.0,0.0047880164034928676,0.02351958951596043,7.398030516719443,364.0
20260743,14,global,4,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,7.430022778830825,21.698450572320485,8.0,0.0025,0.009633210779940905,7.430022778830825,1253.0
20260743,14,global,4,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,5.736164474240449,15.575999999999988,1.0,0.0025,0.007179198363172639,5.736164474240449,3120.0
20260743,14,global,16,adaptive_probe,32.0,80.0,2880.0,1.0,0.0025,3.4917031634327738,15.575999999999988,1.0,0.0025,0.004370437970660994,3.4917031634327738,2624.0
20260743,14,global,16,probe_oracle,32.0,80.0,2880.0,1.0,0.0025,3.4917031634327738,15.575999999999988,1.0,0.0025,0.019494684535744874,15.575999999999988,2624.0
20260743,14,global,16,all_agents_adaptive_eta,32.0,80.0,2880.0,32.0,0.0047880164034928676,5.288438035603345,23.418749999999978,32.0,0.0047880164034928676,0.017532352615979747,5.288438035603345,364.0
20260743,14,global,16,fixed_q8_adaptive_eta,8.0,80.0,960.0,8.0,0.0025,5.204772697748038,21.698450572320485,8.0,0.0025,0.0068574900694704285,5.204772697748038,1253.0
20260743,14,global,16,fixed_q1_adaptive_eta,1.0,80.0,400.0,1.0,0.0025,3.4917031634327738,15.575999999999988,1.0,0.0025,0.004370117892789734,3.4917031634327738,3120.0
