policy,scenario,max_delay,budget,mean_mse,standard_error
adaptive_probe,independent,16,15840.0,0.00022399746737001308,4.426171579972283e-05
adaptive_probe,independent,16,16000.0,0.00019249211134670846,3.5095263784903956e-05
adaptive_probe,clustered,4,0.0,1.0,0.0
adaptive_probe,clustered,4,160.0,0.8527674197941196,0.005525657751996781
adaptive_probe,clustered,4,320.0,0.7262669660395871,0.009096611865988575
adaptive_probe,clustered,4,480.0,0.5911333340271777,0.011010489955898315
adaptive_probe,clustered,4,640.0,0.5056915945338329,0.011293274240447307
adaptive_probe,clustered,4,800.0,0.4166937591338452,0.011759635989800258
adaptive_probe,clustered,4,960.0,0.34612283746912753,0.010610412572086265
adaptive_probe,clustered,4,1120.0,0.2759961796790096,0.009750298232625371
adaptive_probe,clustered,4,1280.0,0.23432013702122473,0.009491821303346316
adaptive_probe,clustered,4,1440.0,0.19053572655532142,0.008659502670829822
adaptive_probe,clustered,4,1600.0,0.1632315881450767,0.008400627233820214
adaptive_probe,clustered,4,1760.0,0.14379635301950394,0.008071630906400751
adaptive_probe,clustered,4,1920.0,0.1203436148916488,0.0077140606285869525
adaptive_probe,clustered,4,2080.0,0.10432202948891399,0.006752204713987713
adaptive_probe,clustered,4,2240.0,0.08666674971797675,0.0063488080758782334
adaptive_probe,clustered,4,2400.0,0.07465808424215684,0.005738562547344505
adaptive_probe,clustered,4,2560.0,0.062244861437463515,0.005476257514068612
adaptive_probe,clustered,4,2720.0,0.0532956955704386,0.0051761467766499505
adaptive_probe,clustered,4,2880.0,0.044774294276838336,0.005281395744136236
adaptive_probe,clustered,4,3040.0,0.039881871996194286,0.0046900130306661205
adaptive_probe,clustered,4,3200.0,0.03557616342021029,0.004096754707632509
adaptive_probe,clustered,4,3360.0,0.032579094062496934,0.003948252775837405
adaptive_probe,clustered,4,3520.0,0.029664784546301868,0.0036280901438218425
adaptive_probe,clustered,4,3680.0,0.027028593708159854,0.0032190481267727693
adaptive_probe,clustered,4,3840.0,0.024991462726379067,0.003008866491336396
