cell_id,schedule_family,target_scale,initial_common_parameter,noise_scale,spatial_correlation,temporal_correlation,delay,mean_local_auc,mean_charged_shadow_auc,mean_strong_static_auc,mean_observable_auc,mean_clairvoyant_auc,mean_full_sharing_auc,observable_to_static_ratio,observable_to_shadow_ratio,clairvoyant_to_static_ratio,observable_cvar90,static_cvar90,shadow_cvar90,checkpoint_violation_rate,shift_change_fraction
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D0,alternating,0.6,0.5,0.1,0.0,0.9,0,0.09359674022644868,0.11606201744159378,0.09359674022644868,0.06763547195414867,0.04541542094923487,0.18426338661584665,0.7226263627398869,0.5827528544227233,0.4852243875091851,0.09311142127433591,0.11988486600021404,0.1459049473916067,0.20963541666666666,1.0
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D1,alternating,0.6,0.5,0.1,0.0,0.9,1,0.09108280330931509,0.1134873060928394,0.08660627191097292,0.06599502809976387,0.043775780990115296,0.19171225438647804,0.7620121111736987,0.581519029500762,0.5054573996109045,0.09245176986179422,0.11197268660162354,0.14270161492189165,0.16666666666666669,1.0
Falternating-H0.6-I0.5-N0.1-S0-T0.9-D3,alternating,0.6,0.5,0.1,0.0,0.9,3,0.08556860532917257,0.10838516350652012,0.07433544678637656,0.06196338158096784,0.04142299748942216,0.19522465085966295,0.8335643930282243,0.5716961581853435,0.5572442122862674,0.08607156183017603,0.09395663740439533,0.12823994012179327,0.19791666666666669,1.0
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D0,alternating,0.6,0.5,0.1,0.9,0.0,0,0.06710292928757425,0.09227421950303312,0.06710292928757425,0.03502274463752503,0.03018375068872856,0.16596044931363646,0.5219257193293698,0.37955070035974464,0.44981271323303945,0.043530669662207616,0.0718594511518949,0.09739951902364716,0.07161458333333333,1.0
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D1,alternating,0.6,0.5,0.1,0.9,0.0,1,0.0675856439348125,0.0926176429870514,0.06383964138252324,0.03477744945325742,0.03062075487100341,0.17692395503911124,0.5447626067457532,0.37549486611443517,0.47965111031131447,0.04653385553584482,0.06788736755711773,0.09827393194149492,0.06380208333333333,1.0
Falternating-H0.6-I0.5-N0.1-S0.9-T0-D3,alternating,0.6,0.5,0.1,0.9,0.0,3,0.0668697094579768,0.09219802437460914,0.05787618626817134,0.035242383924890056,0.030084688293252438,0.18840838419122857,0.6089271978217989,0.38224662799386,0.5198111733529569,0.04330075064218826,0.062044402759269326,0.09665828936305185,0.07682291666666667,1.0
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D0,alternating,0.6,0.5,0.1,0.9,0.9,0,0.09573407180713048,0.11973645552482254,0.09573407180713048,0.0682310958897033,0.05021181320852957,0.19229131824790138,0.712714863180209,0.5698439593074336,0.5244926102139289,0.09960745350758142,0.13317475118272473,0.15898434035816467,0.16927083333333331,1.0
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D1,alternating,0.6,0.5,0.1,0.9,0.9,1,0.09807944548041753,0.12049539567889303,0.0927096338002396,0.07079856863635314,0.05139624557655925,0.2013174479794444,0.7636592415940507,0.5875624395227809,0.5543786925887569,0.13288825432929627,0.14104425136037246,0.17227066891841558,0.16536458333333331,1.0
Falternating-H0.6-I0.5-N0.1-S0.9-T0.9-D3,alternating,0.6,0.5,0.1,0.9,0.9,3,0.09067667635265574,0.11427689649727964,0.08054970342904812,0.06621089819128978,0.0460105204570589,0.2042822886161055,0.8219881063821841,0.5793900623899594,0.5712065780302603,0.11574973506613245,0.12627483225873107,0.1650540639950879,0.13802083333333331,1.0
Falternating-H0.6-I0.5-N0.5-S0-T0-D0,alternating,0.6,0.5,0.5,0.0,0.0,0,0.07371916508376786,0.09930882991054679,0.07371916508376786,0.060434344234854755,0.03371152706278798,0.16955348295086153,0.8197914906684385,0.6085495548511796,0.45729664768288164,0.09400047196283912,0.08706791130418103,0.11510069421123707,0.109375,1.0
Falternating-H0.6-I0.5-N0.5-S0-T0-D1,alternating,0.6,0.5,0.5,0.0,0.0,1,0.07482813555683168,0.09980516367902756,0.07096009081637195,0.06368334232706242,0.03485817373420344,0.1841751403162793,0.8974529428359944,0.6380766282981855,0.4912363179524137,0.0909633189417295,0.08147675976588192,0.11509227863737177,0.11067708333333333,1.0
Falternating-H0.6-I0.5-N0.5-S0-T0-D3,alternating,0.6,0.5,0.5,0.0,0.0,3,0.07623831091286234,0.10230932583859771,0.0660055986800625,0.059271292136933745,0.03475126259934923,0.19349738046072512,0.8979737071127739,0.57933420683897,0.5264896204910283,0.08062063919394585,0.07679015225723583,0.11532756776577902,0.08333333333333333,0.96875
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D0,alternating,0.6,0.5,0.5,0.0,0.9,0,0.18221174975858073,0.19882560238646896,0.18221174975858073,0.17701246371142765,0.08765415337562099,0.2291370259494866,0.9714656927775415,0.8902900913502989,0.4810565371978333,0.256602389756163,0.25944316620892904,0.27860511040510916,0.23307291666666669,1.0
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D1,alternating,0.6,0.5,0.5,0.0,0.9,1,0.18423957113237666,0.20098903106555172,0.17198299320725963,0.18314496180077897,0.09501045079335434,0.24541556958568114,1.0649015834959208,0.9112186910391494,0.5524409653625206,0.2589549223332946,0.229203300860406,0.26793925895810267,0.21744791666666669,1.0
Falternating-H0.6-I0.5-N0.5-S0-T0.9-D3,alternating,0.6,0.5,0.5,0.0,0.9,3,0.20673028364194715,0.21962577445872739,0.18485001884775829,0.21459511670072745,0.10548883125417934,0.26004075065279675,1.1609147677581093,0.9770944108431804,0.5706725480026026,0.32696674560926836,0.27775549785406656,0.34057567576518644,0.24869791666666663,1.0
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D0,alternating,0.6,0.5,0.5,0.9,0.0,0,0.07410190817743939,0.09835452460706097,0.07410190817743939,0.05931180403143884,0.034635209088676316,0.17229629896253812,0.8004085925751713,0.603040930434031,0.4673996924038879,0.0808825505934717,0.08830944859626126,0.11433005032123042,0.10677083333333333,0.984375
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D1,alternating,0.6,0.5,0.5,0.9,0.0,1,0.07518465283982109,0.099253645027433,0.07034281445839838,0.06411045788443433,0.03609138807974065,0.18341444461816594,0.9114002386462665,0.6459254757516931,0.5130785334312369,0.09000722556646801,0.07903378237189768,0.10848571532687849,0.09895833333333334,1.0
Falternating-H0.6-I0.5-N0.5-S0.9-T0-D3,alternating,0.6,0.5,0.5,0.9,0.0,3,0.07292013675677794,0.09771725952565632,0.06401947291859714,0.06391645193508375,0.03446062858239072,0.19357141762290755,0.9983907867588291,0.6540958295939732,0.5382835411064465,0.09997025445845768,0.07389889264085531,0.10873918860511224,0.09895833333333333,0.953125
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D0,alternating,0.6,0.5,0.5,0.9,0.9,0,0.2068390419459192,0.22105015217532584,0.2068390419459192,0.21928149391072474,0.12549568448872714,0.30158262261759156,1.060155238816368,0.9919988371543925,0.6067311243954594,0.37137350846886824,0.30917903715456974,0.3136736524521722,0.25390625,1.0
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D1,alternating,0.6,0.5,0.5,0.9,0.9,1,0.18173641703205967,0.19941058431133496,0.17591558893079232,0.19192089106425217,0.10572976614953006,0.27767221304204637,1.0909828528030938,0.9624408439855464,0.6010255645457643,0.31758555049457127,0.29038032823273635,0.31170982161169847,0.22005208333333331,1.0
Falternating-H0.6-I0.5-N0.5-S0.9-T0.9-D3,alternating,0.6,0.5,0.5,0.9,0.9,3,0.20513196736385148,0.2206942262397271,0.1885507969287689,0.19516297594529097,0.10754589784717619,0.277078715169179,1.035068422537721,0.884313918268514,0.5703815608257816,0.3072766202738777,0.3000424325277094,0.33709466084913586,0.19270833333333334,1.0
Falternating-H0.6-I1.5-N0.1-S0-T0-D0,alternating,0.6,1.5,0.1,0.0,0.0,0,0.1336174220803481,0.18541967397187697,0.1335469867456256,0.11470126179197238,0.10855122751105672,0.23197736475589567,0.8588831885099009,0.6186035135050953,0.8128317242965603,0.1329592949808839,0.14218180543673684,0.19669664434752945,0.06249999999999999,1.0
