scenario_id,family,matrix_name,rho,delay,markov_lambda,step_size,q,stride,updates,binding,risk,bias_risk,noise_risk,spectral_radius,fixed_sequence_minimax_risk,scalar_reference_risk
speedup-0-diagonal_2d-D0-L0-E0.08,speedup,diagonal_2d,0.0,0,0.0,0.08,1,1,96,environment,0.09380203286857147,0.0,0.09380203286857147,0.944,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0-E0.08,speedup,diagonal_2d,0.0,0,0.0,0.08,1,4,24,environment,0.08982945522571362,0.0,0.08982945522571362,0.944,0.041666666666666664,
speedup-0-diagonal_2d-D0-L0-E0.08,speedup,diagonal_2d,0.0,0,0.0,0.08,4,1,96,environment,0.023450508217142868,0.0,0.023450508217142868,0.944,0.0026041666666666665,
speedup-0-diagonal_2d-D0-L0-E0.08,speedup,diagonal_2d,0.0,0,0.0,0.08,4,4,24,environment,0.022457363806428404,0.0,0.022457363806428404,0.944,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0-E0.08,speedup,diagonal_2d,0.0,0,0.0,0.08,16,1,96,environment,0.005862627054285717,0.0,0.005862627054285717,0.944,0.0006510416666666666,
speedup-0-diagonal_2d-D0-L0-E0.08,speedup,diagonal_2d,0.0,0,0.0,0.08,16,4,24,environment,0.005614340951607101,0.0,0.005614340951607101,0.944,0.0026041666666666665,
speedup-0-diagonal_2d-D0-L0.6-E0.04,speedup,diagonal_2d,0.0,0,0.6,0.04,1,1,96,environment,0.17210925187084547,0.0,0.17210925187084547,0.972,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0.6-E0.04,speedup,diagonal_2d,0.0,0,0.6,0.04,1,4,24,environment,0.04740021345825282,0.0,0.04740021345825282,0.972,0.041666666666666664,
speedup-0-diagonal_2d-D0-L0.6-E0.04,speedup,diagonal_2d,0.0,0,0.6,0.04,4,1,96,environment,0.04302731296771137,0.0,0.04302731296771137,0.972,0.0026041666666666665,
speedup-0-diagonal_2d-D0-L0.6-E0.04,speedup,diagonal_2d,0.0,0,0.6,0.04,4,4,24,environment,0.011850053364563205,0.0,0.011850053364563205,0.972,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0.6-E0.04,speedup,diagonal_2d,0.0,0,0.6,0.04,16,1,96,environment,0.010756828241927842,0.0,0.010756828241927842,0.972,0.0006510416666666666,
speedup-0-diagonal_2d-D0-L0.6-E0.04,speedup,diagonal_2d,0.0,0,0.6,0.04,16,4,24,environment,0.0029625133411408013,0.0,0.0029625133411408013,0.972,0.0026041666666666665,
speedup-0-diagonal_2d-D0-L0.6-E0.08,speedup,diagonal_2d,0.0,0,0.6,0.08,1,1,96,environment,0.33039288960877466,0.0,0.33039288960877466,0.944,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0.6-E0.08,speedup,diagonal_2d,0.0,0,0.6,0.08,1,4,24,environment,0.11424336075326784,0.0,0.11424336075326784,0.944,0.041666666666666664,
speedup-0-diagonal_2d-D0-L0.6-E0.08,speedup,diagonal_2d,0.0,0,0.6,0.08,4,1,96,environment,0.08259822240219367,0.0,0.08259822240219367,0.944,0.0026041666666666665,
speedup-0-diagonal_2d-D0-L0.6-E0.08,speedup,diagonal_2d,0.0,0,0.6,0.08,4,4,24,environment,0.02856084018831696,0.0,0.02856084018831696,0.944,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0.6-E0.08,speedup,diagonal_2d,0.0,0,0.6,0.08,16,1,96,environment,0.020649555600548417,0.0,0.020649555600548417,0.944,0.0006510416666666666,
speedup-0-diagonal_2d-D0-L0.6-E0.08,speedup,diagonal_2d,0.0,0,0.6,0.08,16,4,24,environment,0.00714021004707924,0.0,0.00714021004707924,0.944,0.0026041666666666665,
speedup-0-diagonal_2d-D0-L0.9-E0.04,speedup,diagonal_2d,0.0,0,0.9,0.04,1,1,96,environment,0.652062864669286,0.0,0.652062864669286,0.972,0.010416666666666666,
speedup-0-diagonal_2d-D0-L0.9-E0.04,speedup,diagonal_2d,0.0,0,0.9,0.04,1,4,24,environment,0.1579394263618667,0.0,0.1579394263618667,0.972,0.041666666666666664,
