policy,persistence,rho,delay,seed,decision,covered_so_far,persistence_upper,rho_upper,certified_persistence,certified_rho,transition_trials,sharing_trials,q,gap,eta,updates,exact_radius
correlation_blind,0.98,0.0,0,21381262,6,True,0.984038259747047,0.015612638679493248,0.986,0.0,6812,600,32,145,0.21801565177538926,10,0.80480819281406
correlation_blind,0.98,0.0,0,21381262,7,True,0.9841526622068473,0.01500192531911116,0.986,0.0,8277,625,32,145,0.2756994103709983,10,0.7833471296870362
correlation_blind,0.98,0.0,0,21381262,8,True,0.9844775641408927,0.014438365519207616,0.986,0.0,9884,648,16,133,0.2803414806134876,12,0.7843072606497289
correlation_blind,0.98,0.0,0,21381262,9,True,0.9843827364245308,0.013956964361917474,0.986,0.0,11619,667,8,133,0.2881763751041444,13,0.7857464811233147
correlation_blind,0.98,0.0,0,21381262,10,True,0.9846813403356929,0.013583459606895023,0.986,0.0,12232,675,8,122,0.27800570027182925,5,0.7887163458772356
dual_ucb,0.98,0.0,2,20391231,1,True,0.9999990230334976,0.06276907731421694,1.0,0.08,328,328,1,18721,0.0,0,1.0
dual_ucb,0.98,0.0,2,20391231,2,True,0.9997921926699742,0.026376301972316142,1.0,0.04,528,528,1,16721,0.0,0,1.0
dual_ucb,0.98,0.0,2,20391231,3,True,0.9978066581396885,0.016911182177612276,0.998,0.02,2023,583,4,721,0.024637303487296848,2,0.9680032321181042
dual_ucb,0.98,0.0,2,20391231,4,True,0.9936825062228538,0.015411720747493807,0.994,0.02,3862,595,8,262,0.026390719823308026,7,0.9656952384664315
dual_ucb,0.98,0.0,2,20391231,5,True,0.9887959032066571,0.0151201106935571,0.99,0.02,5722,609,2,143,0.02454749660140057,13,0.9682282188997903
dual_ucb,0.98,0.0,2,20391231,6,True,0.987207421025124,0.014793906853618703,0.988,0.02,7436,631,8,142,0.02759109900538806,12,0.9641613948198621
dual_ucb,0.98,0.0,2,20391231,7,True,0.986165175729651,0.01430952111759146,0.988,0.02,9157,658,4,155,0.028399600846672788,11,0.9631925675953604
dual_ucb,0.98,0.0,2,20391231,8,True,0.9861696344304931,0.013757789629259023,0.988,0.02,10876,685,4,142,0.027388221886860752,12,0.9644873884204249
dual_ucb,0.98,0.0,2,20391231,9,True,0.9855098360500316,0.01324806621227207,0.986,0.02,12596,711,4,122,0.027374079476587432,14,0.9645151236323475
dual_ucb,0.98,0.0,2,20391231,10,True,0.9858133428396791,0.012792568018338231,0.986,0.02,13261,716,2,133,0.02689822451761562,5,0.9652434247400454
