policy,persistence,rho,delay,seed,simultaneous_coverage,largest_action_radius,final_error,median_q,initial_p_upper,final_p_upper,initial_rho_upper,final_rho_upper,random_seed,oracle_error,to_oracle
dual_ucb,0.98,0.9,0,20421234,True,0.9043100556237843,0.011014856956868956,2.0,0.9983186396695305,0.9848562504780347,0.9687527531915219,0.9439121715084942,20421234,0.010180002984262373,1.0820092070598812
correlation_blind,0.98,0.9,0,20421234,True,0.827565579777788,0.017217110354745144,16.0,0.9993703412465136,0.9870681810929929,0.9727229968352509,0.9355493250499203,21421234,0.010180002984262373,1.6912677119409183
dual_ucb,0.98,0.9,0,20421235,True,0.9152310873778986,0.010963552982686664,1.5,0.9983186396695305,0.9849613217849456,0.9646320947113585,0.9635561957099887,20421235,0.010180002984262373,1.0769695254152292
correlation_blind,0.98,0.9,0,20421235,True,0.827565579777788,0.015980761050275134,32.0,0.9983186396695305,0.9857935755902778,0.9559839803502153,0.9475706393184167,21421235,0.010180002984262373,1.5698188964168633
dual_ucb,0.98,0.9,0,20421236,True,0.8634787866971331,0.010986588989631877,1.5,1.0,0.9850273551966435,0.9801562512971111,0.9634297614875387,20421236,0.010180002984262373,1.079232393803463
correlation_blind,0.98,0.9,0,20421236,True,0.8253924490806418,0.016543545319475574,24.0,0.9993703412465136,0.9847957158830953,0.986792518751719,0.9538805370756069,21421236,0.010180002984262373,1.625102207244028
dual_ucb,0.98,0.9,0,20421237,True,0.8762176047485655,0.010539363937513927,3.0,0.9999990230334976,0.983964254382917,0.937298388079983,0.9363010847320641,20421237,0.010180002984262373,1.0353006726822283
correlation_blind,0.98,0.9,0,20421237,True,0.8648122134083795,0.01679558132251649,32.0,0.9998916376850624,0.9808064589142667,0.9897522603044175,0.9504136830867127,21421237,0.010180002984262373,1.649860157062957
dual_ucb,0.98,0.9,0,20421238,True,0.8615385540530424,0.011269983852254164,2.0,0.9999990230334976,0.9872671902102494,0.9835847716806565,0.9449204362497823,20421238,0.010180002984262373,1.1070707807921893
correlation_blind,0.98,0.9,0,20421238,True,0.827565579777788,0.016563182358790927,24.0,1.0,0.985314457547473,0.9687527531915219,0.9219950269051038,21421238,0.010180002984262373,1.6270311889295648
