seed,rho,delay,num_agents,updates,teacher_mse,maximum_loss,finite
20270710,0.25,8,4,941,0.1220640316605568,4.051172733306885,True
20270710,0.25,8,16,800,0.1965171694755554,3.3309881687164307,True
20270710,0.25,8,32,666,0.1813334375619888,2.8203628063201904,True
20270710,0.5,0,1,984,0.048964723944664,5.469565391540527,True
20270710,0.5,0,4,941,0.5763089060783386,5.280417919158936,True
20270710,0.5,0,16,800,0.3419903814792633,4.082401752471924,True
20270710,0.5,0,32,666,0.4023034870624542,4.220211029052734,True
20270710,0.5,8,1,984,0.0655301511287689,5.464618682861328,True
20270710,0.5,8,4,941,0.4944334626197815,5.168972492218018,True
20270710,0.5,8,16,800,0.3875114917755127,3.953296184539795,True
20270710,0.5,8,32,666,0.3152972161769867,4.140405178070068,True
20270710,0.9,0,1,984,0.0511834025382995,5.433491230010986,True
20270710,0.9,0,4,941,1.1148988008499146,5.428803443908691,True
20270710,0.9,0,16,800,0.4515063464641571,5.352611064910889,True
20270710,0.9,0,32,666,0.6559810042381287,5.312431335449219,True
20270710,0.9,8,1,984,0.0262441299855709,5.178252220153809,True
20270710,0.9,8,4,941,1.0694221258163452,5.2229838371276855,True
20270710,0.9,8,16,800,0.5171678066253662,5.102955341339111,True
20270710,0.9,8,32,666,0.4323629736900329,5.16790771484375,True
20270711,0.0,0,1,984,0.1349976509809494,5.61066198348999,True
20270711,0.0,0,4,941,0.06806331127882,2.380182266235352,True
20270711,0.0,0,16,800,0.0279788430780172,1.356294870376587,True
20270711,0.0,0,32,666,0.039437286555767,0.9649262428283693,True
20270711,0.0,8,1,984,0.1725295186042785,5.646152019500732,True
20270711,0.0,8,4,941,0.0731874629855156,2.414404392242432,True
20270711,0.0,8,16,800,0.0096172261983156,1.3599908351898191,True
20270711,0.0,8,32,666,0.0556582100689411,0.964388370513916,True
20270711,0.25,0,1,984,0.1363116800785064,4.7438788414001465,True
20270711,0.25,0,4,941,0.0615697279572486,3.372167587280273,True
20270711,0.25,0,16,800,0.007962723262608,4.189468383789063,True
20270711,0.25,0,32,666,0.1122385039925575,3.609785795211792,True
20270711,0.25,8,1,984,0.1410689353942871,4.840033054351807,True
20270711,0.25,8,4,941,0.0427501201629638,3.3540291786193848,True
20270711,0.25,8,16,800,0.0188988409936428,4.148646354675293,True
20270711,0.25,8,32,666,0.1217537373304367,3.57185697555542,True
20270711,0.5,0,1,984,0.0904915705323219,5.883418560028076,True
20270711,0.5,0,4,941,0.0388105362653732,4.002121448516846,True
20270711,0.5,0,16,800,0.0234571024775505,5.252283096313477,True
20270711,0.5,0,32,666,0.1843193769454956,4.445768356323242,True
20270711,0.5,8,1,984,0.0594137534499168,5.8431077003479,True
